File Name,Category,Description,Status,Nav Link
about_platform_infographic.html,About,Platform overview infographic,Active,
adu_permit_map.html,Maps,ADU permit locations map,Active,
am_i_eligible.html,Eligibility,Address eligibility checker,Active,
am_i_eligible_compact.html,Eligibility,Compact eligibility checker,Active,
am_i_eligible_homepage.html,Eligibility,Homepage with eligibility focus,Legacy,
contractor_dashboard.html,Dashboards,Contractor tools and analytics,Active,User Types > Contractor
dadu_build_explorer.html,Explorer,Build explorer v1,Legacy,
dadu_build_explorer_v2.html,Explorer,Build explorer v2,Legacy,
dadu_build_tool.html,Tools,DADU build planning tool,Active,
dadu_building_requirements.html,Requirements,Building requirements reference,Active,
dadu_citations_complete.html,Legal,Complete legal citations,Active,
dadu_code_legislation_v3.html,Legal,Code and legislation database v3,Active,Features > Legal
dadu_contractors_infographic.html,About,Contractor process infographic,Active,
dadu_documents_portal.html,Documents,Document search and downloads,Active,Features > Legal
dadu_eligibility_checklist.html,Eligibility,Interactive eligibility checklist,Active,
dadu_eligibility_flowchart.html,Eligibility,Visual eligibility flowchart,Active,
dadu_eligibility_map.html,Maps,Parcel eligibility map (285k parcels),Active,Features > Discover
dadu_explorer.html,Explorer,DADU explorer v1,Legacy,
dadu_explorer_v2.html,Explorer,DADU explorer v2,Legacy,
dadu_explorer_v3.html,Explorer,DADU explorer v3,Legacy,
dadu_explorer_attom.html,Explorer,ATTOM-style DADU explorer with filters,Active,Features > Discover
dadu_history.html,About,DADU legislation history,Active,
dadu_legal_citations.html,Legal,Legal citations reference,Active,
dadu_legislation.html,Legal,Legislation PDFs downloads,Active,Features > Legal
dadu_near_me.html,Maps,DADUs near me v1,Legacy,
dadu_near_me_locator.html,Maps,Find DADUs near an address,Active,Features > Discover
dadu_near_me_v2.html,Maps,DADUs near me v2,Legacy,
dadu_opportunity_explorer_v2.html,Explorer,Opportunity explorer,Active,
dadu_parcel_lookup.html,Search,Parcel lookup tool,Active,
dadu_platform.html,About,Platform landing page,Legacy,
dadu_property_explorer.html,Explorer,Property explorer v1,Legacy,
dadu_property_explorer_v2.html,Explorer,Property explorer v2,Legacy,
dadu_property_explorer_v3.html,Explorer,Property explorer v3,Legacy,
dadu_property_portal_v3.html,Portal,Property portal v3,Active,
dadu_property_report.html,Reports,Property report page,Active,
dadu_property_viewer_v3.html,Viewer,Property viewer v3,Active,
dadu_report_connected.html,Reports,Connected report page,Active,
dadu_report_full.html,Reports,Full property report,Active,
dadu_reports_store.html,Reports,Reports store/pricing,Active,Features > Plan
dadu_resources.html,Resources,DADU resources hub,Active,
dadu_website.html,About,Website landing,Legacy,
dadu_zoning_standards.html,Requirements,Zoning standards reference,Active,
determine_forms_required.html,Legal,Form requirements wizard,Active,Features > Legal
draw_dadu_on_parcel.html,Design,Draw DADU on parcel map,Active,Features > Design
eligibility_map_sample.html,Maps,Sample eligibility map,Legacy,
eligibility_report.html,Reports,Eligibility report generator,Active,
feature-documents.html,Features,Documents feature page,Active,
feature-eligibility-map.html,Features,Eligibility map feature page,Active,
feature-property-search.html,Features,Property search feature page,Active,
features.html,Features,Features overview page,Active,
homebody_dadu_pricing.html,Pricing,DADU pricing page,Active,
homebody_index.html,Homepage,Homepage v1,Legacy,
homebody_index_v3.html,Homepage,Homepage v3,Active,
homebody_index_v4.html,Homepage,Homepage v4,Active,
homebody_main.html,Homepage,Main homepage (current),Active,Main
homebody_pricing.html,Pricing,Platform pricing,Active,
index.html,Homepage,Root index redirect,Active,
index_pq.html,Homepage,ParcelQuest-style homepage,Active,
legal_form_filler.html,Legal,Legal form auto-filler,Active,Features > Legal
nashville_permit_analytics.html,Analytics,Permit analytics dashboard,Active,
nashville_permit_explorer_v3.html,Explorer,Permit explorer v3,Active,
overlay-districts.html,Maps,Overlay districts map,Active,
owner_occupancy.html,Legal,Owner occupancy requirements,Active,User Types > Homeowner
parcel_footprint_map.html,Maps,Parcel footprint map,Active,
pdf_database_lookup.html,Documents,PDF database search,Active,
permit_process_timeline.html,Planning,Permit process timeline,Active,
project_checklist.html,Planning,Interactive project checklist,Active,Features > Plan
project_cost_estimator.html,Calculators,Project cost estimator,Active,Features > Financials
project_planner.html,Planning,Project planner timeline,Active,Features > Plan
project_report.html,Reports,Project report page,Active,
property-report-card.html,Reports,Property report card hub,Active,User Types > Homeowner
property_report.html,Reports,Property report page,Active,
property_search.html,Search,Property address search,Active,Features > Discover
property_tax_calculator.html,Calculators,Property tax calculator,Active,Features > Financials
reports_pricing.html,Pricing,Reports pricing page,Active,Nav > Pricing
restrictive_covenants_v2.html,Legal,Restrictive covenants search,Active,
roi_calculator.html,Calculators,ROI calculator,Active,Features > Financials
secondary_structures_map.html,Maps,Secondary structures map,Active,
short_term_rental_permit.html,Legal,STR permit information,Active,
site_plan_downloads.html,Design,Site plan downloads,Active,Features > Design
size_calculator.html,Calculators,DADU size calculator,Active,Features > Design
stakeholder_flowchart.html,About,Stakeholder process flowchart,Active,
user-homeowners.html,User Types,Homeowner landing page,Active,User Types > Homeowner
user-types.html,User Types,User types overview,Active,
what_is_dadu.html,About,What is a DADU explainer,Active,
contractor_marketplace.html,Dashboards,Contractor search and marketplace,Active,User Types > Contractor
permit_activity_dashboard.html,Dashboards,Real-time permit activity feed,Active,User Types > Contractor
market_trends.html,Analytics,DADU market trends and statistics,Active,User Types > Contractor
designer_resources.html,Resources,Designer templates and standards,Active,User Types > Architect
municipal_dashboard.html,Dashboards,Municipal permit analytics,Active,User Types > Government
legal_resources.html,Resources,Legal reference hub,Active,User Types > Legal
trade_permits.html,Legal,Trade permit guide and fees,Active,User Types > Trade
dadu_design_standards.html,Requirements,DADU design standards reference,Active,Features > Design
str_permit.html,Legal,Short-term rental permit guide,Active,Features > Legal
